goal_id,driver_id,date,shift_start_time,shift_end_time,target_earnings,target_hours,current_earnings,current_hours,status,earnings_velocity,goal_completion_forecast
GOAL001,DRV001,2024-02-06,06:30:00,14:30:00,1400,8.0,1423,7.5,achieved,189.73,on_track
GOAL002,DRV002,2024-02-06,17:00:00,23:00:00,1200,6.0,925,3.5,in_progress,264.29,on_track
GOAL003,DRV003,2024-02-06,07:30:00,17:30:00,1750,10.0,1148,5.2,in_progress,220.77,on_track
GOAL004,DRV004,2024-02-06,06:00:00,13:00:00,1100,7.0,403,2.3,in_progress,175.22,at_risk
GOAL005,DRV005,2024-02-06,13:30:00,20:30:00,1300,7.0,546,2.8,in_progress,195.00,on_track
GOAL006,DRV006,2024-02-06,17:30:00,23:30:00,1500,6.0,633,2.5,in_progress,253.20,on_track
GOAL007,DRV007,2024-02-06,06:30:00,13:30:00,1200,7.0,245,2.0,in_progress,122.50,at_risk
GOAL008,DRV008,2024-02-06,08:00:00,18:00:00,1700,10.0,856,4.5,in_progress,190.22,on_track
GOAL009,DRV009,2024-02-06,14:00:00,20:00:00,1100,6.0,384,2.0,in_progress,192.00,on_track
GOAL010,DRV010,2024-02-06,06:00:00,13:00:00,1300,7.0,728,4.2,in_progress,173.33,at_risk
GOAL011,DRV012,2024-02-06,09:08:00,19:18:00,1719,7.9,1530,3.9,achieved,392.31,at_risk
GOAL012,DRV013,2024-02-06,09:08:00,16:18:00,1297,6.9,1036,6.5,in_progress,159.38,at_risk
GOAL013,DRV014,2024-02-06,09:14:00,16:24:00,1309,6.3,1099,7.1,achieved,154.79,ahead
GOAL014,DRV015,2024-02-06,08:55:00,17:05:00,1352,7.7,285,5.5,achieved,51.82,ahead
GOAL015,DRV016,2024-02-06,08:25:00,18:35:00,1685,8.4,1275,5.7,at_risk,223.68,on_track
GOAL016,DRV017,2024-02-06,10:06:00,19:16:00,1567,9.3,286,7.2,in_progress,39.72,ahead
GOAL017,DRV018,2024-02-06,10:25:00,16:35:00,1671,7.5,1491,7.8,in_progress,191.15,at_risk
GOAL018,DRV019,2024-02-06,09:25:00,17:35:00,1392,7.8,1065,3.4,in_progress,313.24,ahead
GOAL019,DRV020,2024-02-06,10:57:00,17:07:00,1574,9.3,1125,2.1,at_risk,535.71,on_track
GOAL020,DRV021,2024-02-06,07:49:00,17:59:00,1659,6.5,1046,3.6,in_progress,290.56,on_track
GOAL021,DRV022,2024-02-06,09:37:00,16:47:00,1565,6.4,863,6.0,at_risk,143.83,on_track
GOAL022,DRV023,2024-02-06,06:05:00,12:15:00,1560,8.5,374,4.9,achieved,76.33,ahead
GOAL023,DRV024,2024-02-06,10:39:00,17:49:00,1487,8.2,289,6.5,achieved,44.46,ahead
GOAL024,DRV025,2024-02-06,07:10:00,14:20:00,1283,9.1,305,4.2,achieved,72.62,ahead
GOAL025,DRV026,2024-02-06,09:18:00,16:28:00,1220,9.6,1183,2.8,at_risk,422.5,at_risk
GOAL026,DRV027,2024-02-06,06:29:00,15:39:00,1610,8.2,211,5.5,achieved,38.36,on_track
GOAL027,DRV028,2024-02-06,07:37:00,16:47:00,1564,7.6,362,5.4,in_progress,67.04,on_track
GOAL028,DRV029,2024-02-06,10:17:00,20:27:00,1743,8.2,625,1.8,in_progress,347.22,on_track
GOAL029,DRV030,2024-02-06,08:02:00,15:12:00,1133,8.7,1058,5.4,achieved,195.93,on_track
GOAL030,DRV031,2024-02-06,06:06:00,15:16:00,1282,6.6,782,5.5,at_risk,142.18,ahead
GOAL031,DRV032,2024-02-06,10:36:00,20:46:00,1281,9.9,937,7.6,in_progress,123.29,at_risk
GOAL032,DRV033,2024-02-06,08:23:00,17:33:00,1169,9.0,1063,5.1,achieved,208.43,at_risk
GOAL033,DRV034,2024-02-06,07:07:00,15:17:00,1437,8.1,1274,2.9,in_progress,439.31,ahead
GOAL034,DRV035,2024-02-06,06:06:00,16:16:00,1744,8.1,379,4.6,at_risk,82.39,ahead
GOAL035,DRV036,2024-02-06,08:27:00,18:37:00,1424,7.0,1377,8.0,achieved,172.12,on_track
GOAL036,DRV037,2024-02-06,10:36:00,19:46:00,1632,8.9,1219,4.7,in_progress,259.36,ahead
GOAL037,DRV038,2024-02-06,07:45:00,15:55:00,1298,6.0,249,4.5,in_progress,55.33,ahead
GOAL038,DRV039,2024-02-06,07:51:00,17:01:00,1524,7.7,883,3.8,at_risk,232.37,on_track
GOAL039,DRV040,2024-02-06,06:40:00,13:50:00,1388,7.0,338,3.5,at_risk,96.57,ahead
GOAL040,DRV041,2024-02-06,08:49:00,14:59:00,1216,8.7,549,4.1,at_risk,133.9,ahead
GOAL041,DRV042,2024-02-06,06:53:00,13:03:00,1298,7.3,892,7.5,achieved,118.93,at_risk
GOAL042,DRV043,2024-02-06,06:41:00,13:51:00,1593,6.6,1143,7.3,at_risk,156.58,at_risk
GOAL043,DRV044,2024-02-06,09:50:00,18:00:00,1157,9.3,506,5.2,at_risk,97.31,at_risk
GOAL044,DRV045,2024-02-06,10:34:00,16:44:00,1313,8.3,879,6.7,achieved,131.19,on_track
GOAL045,DRV046,2024-02-06,07:17:00,13:27:00,1447,9.9,1294,7.0,at_risk,184.86,ahead
GOAL046,DRV047,2024-02-06,09:11:00,19:21:00,1219,9.5,969,3.5,achieved,276.86,ahead
GOAL047,DRV048,2024-02-06,06:17:00,15:27:00,1188,8.0,443,3.9,achieved,113.59,on_track
GOAL048,DRV049,2024-02-06,10:19:00,17:29:00,1214,7.5,238,6.6,in_progress,36.06,at_risk
GOAL049,DRV050,2024-02-06,10:01:00,19:11:00,1612,6.6,896,7.5,at_risk,119.47,ahead
GOAL050,DRV051,2024-02-06,08:49:00,16:59:00,1246,9.1,401,6.8,at_risk,58.97,ahead
GOAL051,DRV052,2024-02-06,07:13:00,13:23:00,1570,7.6,1269,2.3,achieved,551.74,on_track
GOAL052,DRV053,2024-02-06,10:55:00,16:05:00,1441,7.9,294,2.2,at_risk,133.64,ahead
GOAL053,DRV054,2024-02-06,08:01:00,18:11:00,1419,8.6,629,3.6,in_progress,174.72,at_risk
GOAL054,DRV055,2024-02-06,08:34:00,16:44:00,1551,8.7,758,2.5,achieved,303.2,on_track
GOAL055,DRV056,2024-02-06,06:39:00,16:49:00,1626,6.4,1311,3.8,achieved,345.0,at_risk
GOAL056,DRV057,2024-02-06,07:45:00,15:55:00,1687,7.0,345,3.5,achieved,98.57,ahead
GOAL057,DRV058,2024-02-06,09:03:00,16:13:00,1129,7.9,891,1.8,achieved,495.0,on_track
GOAL058,DRV059,2024-02-06,06:27:00,15:37:00,1283,8.8,1113,5.5,achieved,202.36,at_risk
GOAL059,DRV060,2024-02-06,07:45:00,17:55:00,1180,9.9,973,6.5,at_risk,149.69,on_track
GOAL060,DRV061,2024-02-06,06:52:00,15:02:00,1199,7.8,900,5.7,achieved,157.89,at_risk
GOAL061,DRV062,2024-02-06,07:14:00,14:24:00,1731,7.0,944,4.0,at_risk,236.0,ahead
GOAL062,DRV063,2024-02-06,08:50:00,16:00:00,1564,8.0,333,4.6,achieved,72.39,at_risk
GOAL063,DRV064,2024-02-06,09:54:00,16:04:00,1389,9.1,1376,2.3,in_progress,598.26,at_risk
GOAL064,DRV065,2024-02-06,06:20:00,16:30:00,1765,6.3,818,5.0,achieved,163.6,ahead
GOAL065,DRV066,2024-02-06,09:15:00,19:25:00,1349,8.2,1187,4.0,achieved,296.75,on_track
GOAL066,DRV067,2024-02-06,10:27:00,19:37:00,1680,9.1,1315,6.0,in_progress,219.17,ahead
GOAL067,DRV068,2024-02-06,06:47:00,16:57:00,1598,6.5,1420,4.5,at_risk,315.56,on_track
GOAL068,DRV069,2024-02-06,09:11:00,17:21:00,1515,6.3,422,6.0,at_risk,70.33,at_risk
GOAL069,DRV070,2024-02-06,08:31:00,14:41:00,1192,6.9,342,7.3,at_risk,46.85,on_track
GOAL070,DRV071,2024-02-06,07:42:00,14:52:00,1563,8.1,998,5.5,achieved,181.45,on_track
GOAL071,DRV072,2024-02-06,07:43:00,15:53:00,1406,8.3,823,7.5,achieved,109.73,ahead
GOAL072,DRV073,2024-02-06,08:05:00,18:15:00,1108,8.4,722,4.1,in_progress,176.1,at_risk
GOAL073,DRV074,2024-02-06,06:23:00,16:33:00,1154,6.0,773,6.8,achieved,113.68,on_track
GOAL074,DRV075,2024-02-06,08:55:00,14:05:00,1340,7.7,1007,5.6,at_risk,179.82,at_risk
GOAL075,DRV076,2024-02-06,09:24:00,18:34:00,1658,6.8,555,4.6,in_progress,120.65,ahead
GOAL076,DRV077,2024-02-06,09:53:00,17:03:00,1527,6.6,457,2.4,in_progress,190.42,ahead
GOAL077,DRV078,2024-02-06,06:09:00,15:19:00,1773,7.7,478,2.1,at_risk,227.62,at_risk
GOAL078,DRV079,2024-02-06,09:57:00,19:07:00,1535,8.5,1130,4.8,at_risk,235.42,at_risk
GOAL079,DRV080,2024-02-06,09:22:00,16:32:00,1290,7.7,215,5.3,at_risk,40.57,on_track
GOAL080,DRV081,2024-02-06,10:17:00,19:27:00,1659,8.3,268,7.9,at_risk,33.92,at_risk
GOAL081,DRV082,2024-02-06,08:07:00,18:17:00,1593,9.8,363,2.4,at_risk,151.25,ahead
GOAL082,DRV083,2024-02-06,08:29:00,18:39:00,1180,8.1,824,2.1,achieved,392.38,ahead
GOAL083,DRV084,2024-02-06,06:43:00,16:53:00,1693,7.2,308,7.4,at_risk,41.62,on_track
GOAL084,DRV085,2024-02-06,09:29:00,19:39:00,1580,8.3,878,4.2,achieved,209.05,at_risk
GOAL085,DRV086,2024-02-06,07:02:00,17:12:00,1411,8.9,1354,3.2,at_risk,423.12,at_risk
GOAL086,DRV087,2024-02-06,10:10:00,20:20:00,1152,8.6,498,6.8,at_risk,73.24,on_track
GOAL087,DRV088,2024-02-06,08:31:00,14:41:00,1229,8.0,769,3.1,at_risk,248.06,at_risk
GOAL088,DRV089,2024-02-06,08:54:00,16:04:00,1114,9.0,818,2.6,at_risk,314.62,ahead
GOAL089,DRV090,2024-02-06,07:42:00,16:52:00,1478,9.2,735,6.6,in_progress,111.36,at_risk
GOAL090,DRV091,2024-02-06,07:51:00,17:01:00,1133,7.4,286,7.8,at_risk,36.67,on_track
GOAL091,DRV092,2024-02-06,09:48:00,18:58:00,1492,7.0,1101,6.2,in_progress,177.58,on_track
GOAL092,DRV093,2024-02-06,10:46:00,18:56:00,1155,8.6,973,6.8,in_progress,143.09,on_track
GOAL093,DRV094,2024-02-06,09:25:00,18:35:00,1408,7.9,1290,3.0,at_risk,430.0,ahead
GOAL094,DRV095,2024-02-06,09:30:00,17:40:00,1248,8.1,1090,1.6,achieved,681.25,at_risk
GOAL095,DRV096,2024-02-06,08:33:00,14:43:00,1199,9.7,852,3.8,achieved,224.21,ahead
GOAL096,DRV097,2024-02-06,08:21:00,16:31:00,1373,9.2,722,5.8,achieved,124.48,at_risk
GOAL097,DRV098,2024-02-06,07:46:00,17:56:00,1299,8.1,568,3.5,in_progress,162.29,ahead
GOAL098,DRV099,2024-02-06,06:53:00,12:03:00,1112,7.6,737,2.2,achieved,335.0,at_risk
GOAL099,DRV100,2024-02-06,07:46:00,15:56:00,1357,6.8,248,5.5,in_progress,45.09,ahead
GOAL100,DRV101,2024-02-06,07:38:00,13:48:00,1222,6.3,819,2.3,at_risk,356.09,ahead
GOAL101,DRV102,2024-02-06,10:51:00,17:01:00,1213,8.8,459,3.4,at_risk,135.0,on_track
GOAL102,DRV103,2024-02-06,09:59:00,17:09:00,1537,8.8,862,3.2,in_progress,269.38,at_risk
GOAL103,DRV104,2024-02-06,06:24:00,15:34:00,1440,10.0,728,7.7,achieved,94.55,on_track
GOAL104,DRV105,2024-02-06,09:04:00,18:14:00,1305,8.4,565,5.7,in_progress,99.12,on_track
GOAL105,DRV106,2024-02-06,10:49:00,19:59:00,1323,8.5,417,7.4,at_risk,56.35,at_risk
GOAL106,DRV107,2024-02-06,06:02:00,12:12:00,1172,8.3,456,6.6,in_progress,69.09,at_risk
GOAL107,DRV108,2024-02-06,07:41:00,13:51:00,1138,8.7,472,2.5,achieved,188.8,at_risk
GOAL108,DRV109,2024-02-06,10:00:00,20:10:00,1602,7.9,1027,7.0,in_progress,146.71,ahead
GOAL109,DRV110,2024-02-06,07:00:00,16:10:00,1593,6.5,1296,7.6,achieved,170.53,at_risk
GOAL110,DRV111,2024-02-06,08:25:00,14:35:00,1747,10.0,1525,2.1,at_risk,726.19,at_risk
GOAL111,DRV112,2024-02-06,06:53:00,15:03:00,1396,8.6,561,5.1,achieved,110.0,ahead
GOAL112,DRV113,2024-02-06,07:19:00,16:29:00,1209,8.5,567,4.7,at_risk,120.64,at_risk
GOAL113,DRV114,2024-02-06,07:08:00,13:18:00,1297,6.1,688,4.7,in_progress,146.38,ahead
GOAL114,DRV115,2024-02-06,08:31:00,18:41:00,1560,9.9,233,1.7,in_progress,137.06,at_risk
GOAL115,DRV116,2024-02-06,06:25:00,12:35:00,1316,9.2,1271,4.5,at_risk,282.44,ahead
GOAL116,DRV117,2024-02-06,07:47:00,17:57:00,1338,9.7,275,6.3,achieved,43.65,ahead
GOAL117,DRV118,2024-02-06,06:30:00,16:40:00,1146,7.0,864,2.3,in_progress,375.65,ahead
GOAL118,DRV119,2024-02-06,06:57:00,14:07:00,1199,7.8,374,6.9,in_progress,54.2,on_track
GOAL119,DRV120,2024-02-06,06:31:00,16:41:00,1730,6.9,615,4.3,at_risk,143.02,ahead
GOAL120,DRV121,2024-02-06,09:20:00,15:30:00,1800,8.3,481,3.6,in_progress,133.61,on_track
GOAL121,DRV122,2024-02-06,10:11:00,18:21:00,1164,6.5,344,6.4,in_progress,53.75,ahead
GOAL122,DRV123,2024-02-06,08:35:00,15:45:00,1549,7.0,1391,1.8,in_progress,772.78,ahead
GOAL123,DRV124,2024-02-06,10:24:00,17:34:00,1116,9.5,282,1.5,in_progress,188.0,on_track
GOAL124,DRV125,2024-02-06,10:56:00,18:06:00,1526,8.8,1174,6.0,in_progress,195.67,on_track
GOAL125,DRV126,2024-02-06,08:33:00,17:43:00,1521,7.0,557,5.5,in_progress,101.27,ahead
GOAL126,DRV127,2024-02-06,07:45:00,16:55:00,1726,9.8,1484,6.9,achieved,215.07,at_risk
GOAL127,DRV128,2024-02-06,09:00:00,19:10:00,1341,6.8,1285,7.8,at_risk,164.74,at_risk
GOAL128,DRV129,2024-02-06,10:32:00,17:42:00,1575,9.1,1550,2.9,in_progress,534.48,on_track
GOAL129,DRV130,2024-02-06,06:50:00,13:00:00,1585,8.0,527,5.9,in_progress,89.32,on_track
GOAL130,DRV131,2024-02-06,08:18:00,15:28:00,1545,7.0,1463,6.7,achieved,218.36,on_track
GOAL131,DRV132,2024-02-06,06:47:00,12:57:00,1650,6.7,259,4.7,in_progress,55.11,on_track
GOAL132,DRV133,2024-02-06,07:46:00,16:56:00,1706,8.3,1058,2.8,at_risk,377.86,at_risk
GOAL133,DRV134,2024-02-06,07:49:00,13:59:00,1433,6.9,685,6.3,in_progress,108.73,at_risk
GOAL134,DRV135,2024-02-06,07:04:00,16:14:00,1699,7.9,1092,2.4,at_risk,455.0,at_risk
GOAL135,DRV136,2024-02-06,07:24:00,15:34:00,1239,7.8,597,5.6,achieved,106.61,on_track
GOAL136,DRV137,2024-02-06,08:08:00,14:18:00,1682,6.2,479,2.2,achieved,217.73,at_risk
GOAL137,DRV138,2024-02-06,09:10:00,17:20:00,1325,9.5,521,6.6,at_risk,78.94,ahead
GOAL138,DRV139,2024-02-06,07:36:00,17:46:00,1335,6.3,1268,4.7,in_progress,269.79,ahead
GOAL139,DRV140,2024-02-06,09:53:00,18:03:00,1385,6.1,1076,6.3,in_progress,170.79,on_track
GOAL140,DRV141,2024-02-06,08:27:00,18:37:00,1327,9.6,505,7.4,in_progress,68.24,at_risk
GOAL141,DRV142,2024-02-06,06:02:00,15:12:00,1616,6.1,1287,4.1,at_risk,313.9,on_track
GOAL142,DRV143,2024-02-06,09:31:00,16:41:00,1185,8.2,212,6.0,achieved,35.33,on_track
GOAL143,DRV144,2024-02-06,07:22:00,15:32:00,1344,8.6,385,1.6,at_risk,240.62,at_risk
GOAL144,DRV145,2024-02-06,07:45:00,16:55:00,1684,9.0,249,7.8,achieved,31.92,on_track
GOAL145,DRV146,2024-02-06,09:11:00,17:21:00,1741,7.9,1497,1.5,at_risk,998.0,on_track
GOAL146,DRV147,2024-02-06,09:57:00,17:07:00,1643,6.1,1072,6.4,at_risk,167.5,ahead
GOAL147,DRV148,2024-02-06,10:36:00,17:46:00,1182,8.5,543,6.3,in_progress,86.19,ahead
GOAL148,DRV149,2024-02-06,08:56:00,14:06:00,1213,7.5,676,5.5,achieved,122.91,at_risk
GOAL149,DRV150,2024-02-06,07:41:00,17:51:00,1168,8.2,992,2.8,achieved,354.29,on_track
GOAL150,DRV151,2024-02-06,10:07:00,19:17:00,1694,9.5,1639,2.9,at_risk,565.17,on_track
GOAL151,DRV152,2024-02-06,08:22:00,16:32:00,1615,8.7,767,1.9,achieved,403.68,at_risk
GOAL152,DRV153,2024-02-06,09:31:00,19:41:00,1639,9.3,1162,6.1,at_risk,190.49,ahead
GOAL153,DRV154,2024-02-06,08:28:00,18:38:00,1476,9.2,334,2.7,achieved,123.7,on_track
GOAL154,DRV155,2024-02-06,06:25:00,13:35:00,1395,9.8,357,2.2,achieved,162.27,on_track
GOAL155,DRV156,2024-02-06,07:31:00,14:41:00,1309,8.1,246,3.4,at_risk,72.35,ahead
GOAL156,DRV157,2024-02-06,07:30:00,15:40:00,1530,7.8,1520,1.6,in_progress,950.0,on_track
GOAL157,DRV158,2024-02-06,06:55:00,13:05:00,1632,8.6,1043,5.3,at_risk,196.79,ahead
GOAL158,DRV159,2024-02-06,08:31:00,18:41:00,1781,8.8,1323,4.4,achieved,300.68,ahead
GOAL159,DRV160,2024-02-06,07:57:00,15:07:00,1275,9.2,664,4.6,achieved,144.35,on_track
GOAL160,DRV161,2024-02-06,07:22:00,15:32:00,1566,9.8,1466,7.5,at_risk,195.47,ahead
GOAL161,DRV162,2024-02-06,08:11:00,15:21:00,1782,9.2,530,3.0,in_progress,176.67,at_risk
GOAL162,DRV163,2024-02-06,10:08:00,19:18:00,1366,7.5,620,5.2,in_progress,119.23,ahead
GOAL163,DRV164,2024-02-06,08:22:00,15:32:00,1481,7.8,532,5.0,in_progress,106.4,on_track
GOAL164,DRV165,2024-02-06,09:59:00,18:09:00,1248,9.8,855,2.5,at_risk,342.0,ahead
GOAL165,DRV166,2024-02-06,10:21:00,18:31:00,1585,9.6,1374,5.8,at_risk,236.9,ahead
GOAL166,DRV167,2024-02-06,09:21:00,15:31:00,1590,9.6,485,5.9,in_progress,82.2,at_risk
GOAL167,DRV168,2024-02-06,06:25:00,16:35:00,1325,7.8,389,3.6,at_risk,108.06,ahead
GOAL168,DRV169,2024-02-06,07:37:00,17:47:00,1327,9.1,769,2.8,in_progress,274.64,ahead
GOAL169,DRV170,2024-02-06,09:43:00,15:53:00,1624,7.6,1204,3.6,at_risk,334.44,ahead
GOAL170,DRV171,2024-02-06,06:58:00,14:08:00,1507,6.6,1075,3.9,achieved,275.64,on_track
GOAL171,DRV172,2024-02-06,08:22:00,16:32:00,1415,9.9,1348,2.1,at_risk,641.9,at_risk
GOAL172,DRV173,2024-02-06,09:51:00,18:01:00,1395,6.7,1068,6.2,achieved,172.26,on_track
GOAL173,DRV174,2024-02-06,10:38:00,16:48:00,1247,6.8,1172,7.9,at_risk,148.35,at_risk
GOAL174,DRV175,2024-02-06,06:59:00,16:09:00,1484,6.4,1038,5.7,achieved,182.11,at_risk
GOAL175,DRV176,2024-02-06,07:35:00,16:45:00,1681,9.0,480,2.8,achieved,171.43,at_risk
GOAL176,DRV177,2024-02-06,10:31:00,16:41:00,1409,9.3,822,4.7,at_risk,174.89,at_risk
GOAL177,DRV178,2024-02-06,07:01:00,13:11:00,1257,7.1,1167,2.3,at_risk,507.39,at_risk
GOAL178,DRV179,2024-02-06,09:11:00,18:21:00,1760,7.0,444,6.5,achieved,68.31,on_track
GOAL179,DRV180,2024-02-06,10:47:00,18:57:00,1695,7.9,1093,7.1,at_risk,153.94,ahead
GOAL180,DRV181,2024-02-06,09:44:00,15:54:00,1482,8.1,1378,1.6,achieved,861.25,on_track
GOAL181,DRV182,2024-02-06,10:03:00,17:13:00,1427,7.8,477,3.8,in_progress,125.53,at_risk
GOAL182,DRV183,2024-02-06,08:26:00,16:36:00,1149,7.2,742,5.7,in_progress,130.18,ahead
GOAL183,DRV184,2024-02-06,07:49:00,14:59:00,1196,8.4,371,5.0,achieved,74.2,ahead
GOAL184,DRV185,2024-02-06,08:17:00,16:27:00,1198,8.1,560,6.9,in_progress,81.16,on_track
GOAL185,DRV186,2024-02-06,10:18:00,18:28:00,1596,7.6,533,2.2,in_progress,242.27,ahead
GOAL186,DRV187,2024-02-06,07:53:00,14:03:00,1672,8.5,1276,7.0,at_risk,182.29,ahead
GOAL187,DRV188,2024-02-06,06:26:00,15:36:00,1178,6.5,334,7.5,achieved,44.53,at_risk
GOAL188,DRV189,2024-02-06,08:44:00,16:54:00,1242,9.3,900,2.6,achieved,346.15,on_track
GOAL189,DRV190,2024-02-06,06:14:00,13:24:00,1245,8.8,829,2.3,in_progress,360.43,on_track
GOAL190,DRV191,2024-02-06,09:44:00,15:54:00,1179,6.1,695,6.4,in_progress,108.59,on_track
GOAL191,DRV192,2024-02-06,06:02:00,16:12:00,1707,6.2,443,7.4,in_progress,59.86,on_track
GOAL192,DRV193,2024-02-06,08:42:00,14:52:00,1198,9.1,1142,5.4,at_risk,211.48,on_track
GOAL193,DRV194,2024-02-06,07:42:00,15:52:00,1129,6.4,1066,6.4,achieved,166.56,ahead
GOAL194,DRV195,2024-02-06,08:22:00,15:32:00,1612,9.1,1455,3.1,at_risk,469.35,on_track
GOAL195,DRV196,2024-02-06,06:52:00,16:02:00,1114,8.1,932,2.7,achieved,345.19,on_track
GOAL196,DRV197,2024-02-06,10:00:00,16:10:00,1319,9.7,1172,3.9,at_risk,300.51,on_track
GOAL197,DRV198,2024-02-06,09:43:00,15:53:00,1285,9.3,977,4.3,at_risk,227.21,on_track
GOAL198,DRV199,2024-02-06,09:07:00,17:17:00,1226,7.9,478,4.7,achieved,101.7,ahead
GOAL199,DRV200,2024-02-06,08:35:00,14:45:00,1184,7.3,318,4.0,achieved,79.5,ahead
GOAL200,DRV001,2024-02-06,08:43:00,17:53:00,1331,8.2,795,7.9,achieved,100.63,on_track
GOAL201,DRV002,2024-02-06,06:57:00,15:07:00,1795,7.5,226,8.0,achieved,28.25,ahead
GOAL202,DRV003,2024-02-06,06:25:00,15:35:00,1635,8.6,374,2.3,achieved,162.61,at_risk
GOAL203,DRV004,2024-02-06,10:06:00,17:16:00,1166,7.5,403,3.7,at_risk,108.92,at_risk
GOAL204,DRV005,2024-02-06,06:14:00,15:24:00,1611,7.1,1391,5.4,at_risk,257.59,at_risk
GOAL205,DRV006,2024-02-06,08:30:00,18:40:00,1514,10.0,1247,3.3,achieved,377.88,on_track
GOAL206,DRV007,2024-02-06,06:16:00,15:26:00,1609,6.9,475,1.7,at_risk,279.41,on_track
GOAL207,DRV008,2024-02-06,06:31:00,12:41:00,1283,7.5,869,2.5,at_risk,347.6,ahead
GOAL208,DRV009,2024-02-06,06:48:00,12:58:00,1776,9.0,1771,4.7,achieved,376.81,on_track
GOAL209,DRV010,2024-02-06,08:42:00,17:52:00,1602,8.0,1310,3.7,at_risk,354.05,ahead
GOAL210,DRV011,2024-02-06,06:48:00,12:58:00,1540,9.5,443,4.0,achieved,110.75,at_risk
