trip_id,driver_id,start_datetime,end_datetime,duration_min,distance_km,fare,surge_multiplier,flagged_moments_count,stress_score,trip_quality_rating
TRIP001,DRV107,2024-02-06 06:45:00,2024-02-06 07:03:00,18,8.2,145,1.0,4.0,0.685,fair
TRIP002,DRV188,2024-02-06 07:15:00,2024-02-06 07:38:00,23,12.4,220,1.2,9.0,0.7777777777777778,poor
TRIP003,DRV003,2024-02-06 07:52:00,2024-02-06 08:15:00,23,9.8,175,1.0,8.0,0.7875,poor
TRIP004,DRV210,2024-02-06 08:28:00,2024-02-06 08:52:00,24,11.2,198,1.0,1.0,0.6,fair
TRIP005,DRV206,2024-02-06 09:15:00,2024-02-06 09:42:00,27,14.5,258,1.3,5.0,0.716,poor
TRIP006,DRV077,2024-02-06 10:05:00,2024-02-06 10:28:00,23,10.1,182,1.0,8.0,0.705,poor
TRIP007,DRV095,2024-02-06 10:48:00,2024-02-06 11:15:00,27,13.8,245,1.0,0.0,0.0,excellent
TRIP008,DRV050,2024-02-06 17:30:00,2024-02-06 17:58:00,28,15.2,312,1.5,1.0,0.9,poor
TRIP009,DRV070,2024-02-06 18:15:00,2024-02-06 18:42:00,27,12.8,268,1.4,2.0,0.8049999999999999,poor
TRIP010,DRV145,2024-02-06 19:05:00,2024-02-06 19:35:00,30,16.5,345,1.6,12.0,0.7425,poor
TRIP011,DRV112,2024-02-06 08:00:00,2024-02-06 08:32:00,32,18.7,385,1.2,4.0,0.745,poor
TRIP012,DRV042,2024-02-06 08:50:00,2024-02-06 09:18:00,28,14.2,295,1.0,3.0,0.7733333333333333,poor
TRIP013,DRV096,2024-02-06 09:45:00,2024-02-06 10:22:00,37,22.5,468,1.3,2.0,0.58,fair
TRIP014,DRV032,2024-02-06 06:30:00,2024-02-06 06:52:00,22,9.5,168,1.0,0.0,0.0,excellent
TRIP015,DRV111,2024-02-06 07:10:00,2024-02-06 07:38:00,28,13.2,235,1.0,4.0,0.58,fair
TRIP016,DRV067,2024-02-06 14:00:00,2024-02-06 14:28:00,28,12.8,228,1.0,0.0,0.0,excellent
TRIP017,DRV144,2024-02-06 14:52:00,2024-02-06 15:25:00,33,16.2,318,1.2,0.0,0.0,excellent
TRIP018,DRV161,2024-02-06 18:00:00,2024-02-06 18:32:00,32,14.5,298,1.4,3.0,0.7966666666666667,poor
TRIP019,DRV045,2024-02-06 19:05:00,2024-02-06 19:38:00,33,15.8,335,1.5,1.0,0.58,fair
TRIP020,DRV157,2024-02-06 07:00:00,2024-02-06 07:28:00,28,13.2,245,1.0,0.0,0.0,excellent
TRIP021,DRV142,2024-02-06 15:27:00,2024-02-06 15:59:00,32,13.5,156,1.1,4.0,0.63,fair
TRIP022,DRV048,2024-02-06 16:34:00,2024-02-07 16:01:00,27,18.6,224,1.3,5.0,0.852,poor
TRIP023,DRV091,2024-02-06 17:41:00,2024-02-07 17:11:00,30,13.8,196,1.3,1.0,0.41,fair
TRIP024,DRV189,2024-02-06 06:48:00,2024-02-07 06:23:00,35,16.2,432,1.3,2.0,0.63,fair
TRIP025,DRV188,2024-02-06 07:55:00,2024-02-07 07:29:00,34,8.7,274,1.3,1.0,0.58,fair
TRIP026,DRV024,2024-02-06 08:02:00,2024-02-06 08:31:00,29,17.2,285,1.2,6.0,0.7200000000000001,poor
TRIP027,DRV136,2024-02-06 09:09:00,2024-02-06 09:28:00,19,9.5,327,1.2,3.0,0.58,fair
TRIP028,DRV189,2024-02-06 10:16:00,2024-02-06 10:34:00,18,17.2,314,1.2,2.0,0.58,fair
TRIP029,DRV106,2024-02-06 11:23:00,2024-02-06 11:52:00,29,12.9,168,1.4,2.0,0.58,fair
TRIP030,DRV150,2024-02-06 12:30:00,2024-02-06 12:57:00,27,15.1,173,1.5,5.0,0.6599999999999999,fair
TRIP031,DRV130,2024-02-06 13:37:00,2024-02-07 13:00:00,23,8.2,306,1.0,0.0,0.0,excellent
TRIP032,DRV043,2024-02-06 14:44:00,2024-02-07 14:20:00,36,14.2,355,1.2,0.0,0.0,excellent
TRIP033,DRV038,2024-02-06 15:51:00,2024-02-07 15:27:00,36,8.3,302,1.2,0.0,0.0,excellent
TRIP034,DRV053,2024-02-06 16:58:00,2024-02-07 16:34:00,36,9.2,390,1.1,0.0,0.0,excellent
TRIP035,DRV185,2024-02-06 17:05:00,2024-02-06 17:33:00,28,14.0,313,1.1,0.0,0.0,excellent
TRIP036,DRV020,2024-02-06 06:12:00,2024-02-06 06:43:00,31,10.4,178,1.5,0.0,0.0,excellent
TRIP037,DRV049,2024-02-06 07:19:00,2024-02-06 07:46:00,27,11.2,292,1.6,0.0,0.0,excellent
TRIP038,DRV088,2024-02-06 08:26:00,2024-02-06 08:51:00,25,15.5,187,1.4,0.0,0.0,excellent
TRIP039,DRV083,2024-02-06 09:33:00,2024-02-07 09:09:00,36,12.0,174,1.3,0.0,0.0,excellent
TRIP040,DRV007,2024-02-06 10:40:00,2024-02-07 10:11:00,31,10.5,179,1.4,0.0,0.0,excellent
TRIP041,DRV118,2024-02-06 11:47:00,2024-02-07 11:14:00,27,13.2,416,1.2,0.0,0.0,excellent
TRIP042,DRV087,2024-02-06 12:54:00,2024-02-07 12:20:00,26,15.5,372,1.4,0.0,0.0,excellent
TRIP043,DRV007,2024-02-06 13:01:00,2024-02-06 13:19:00,18,15.5,404,1.5,0.0,0.0,excellent
TRIP044,DRV131,2024-02-06 14:08:00,2024-02-06 14:32:00,24,15.9,379,1.2,0.0,0.0,excellent
TRIP045,DRV177,2024-02-06 15:15:00,2024-02-06 15:52:00,37,18.2,362,1.6,0.0,0.0,excellent
TRIP046,DRV191,2024-02-06 16:22:00,2024-02-06 16:41:00,19,14.3,326,1.3,0.0,0.0,excellent
TRIP047,DRV107,2024-02-06 17:29:00,2024-02-06 17:56:00,27,18.1,350,1.2,0.0,0.0,excellent
TRIP048,DRV001,2024-02-06 06:36:00,2024-02-07 06:14:00,38,10.4,351,1.2,0.0,0.0,excellent
TRIP049,DRV002,2024-02-06 07:43:00,2024-02-07 07:06:00,23,11.1,447,1.1,0.0,0.0,excellent
TRIP050,DRV170,2024-02-06 08:50:00,2024-02-07 08:12:00,22,10.3,265,1.5,0.0,0.0,excellent
TRIP051,DRV042,2024-02-06 09:57:00,2024-02-07 09:30:00,33,14.7,363,1.3,0.0,0.0,excellent
TRIP052,DRV198,2024-02-06 10:04:00,2024-02-06 10:27:00,23,11.3,154,1.2,0.0,0.0,excellent
TRIP053,DRV149,2024-02-06 11:11:00,2024-02-06 11:46:00,35,10.1,161,1.6,0.0,0.0,excellent
TRIP054,DRV046,2024-02-06 12:18:00,2024-02-06 12:36:00,18,8.7,182,1.2,0.0,0.0,excellent
TRIP055,DRV074,2024-02-06 13:25:00,2024-02-06 13:56:00,31,18.8,186,1.2,0.0,0.0,excellent
TRIP056,DRV026,2024-02-06 14:32:00,2024-02-06 14:54:00,22,10.8,432,1.4,0.0,0.0,excellent
TRIP057,DRV168,2024-02-06 15:39:00,2024-02-07 15:15:00,36,19.4,408,1.2,0.0,0.0,excellent
TRIP058,DRV107,2024-02-06 16:46:00,2024-02-07 16:23:00,37,9.5,300,1.2,0.0,0.0,excellent
TRIP059,DRV028,2024-02-06 17:53:00,2024-02-07 17:23:00,30,17.7,260,1.6,0.0,0.0,excellent
TRIP060,DRV175,2024-02-06 06:00:00,2024-02-06 06:21:00,21,10.1,280,1.3,0.0,0.0,excellent
TRIP061,DRV148,2024-02-06 07:07:00,2024-02-06 07:26:00,19,13.9,331,1.4,0.0,0.0,excellent
TRIP062,DRV047,2024-02-06 08:14:00,2024-02-06 08:49:00,35,13.1,266,1.6,0.0,0.0,excellent
TRIP063,DRV189,2024-02-06 09:21:00,2024-02-06 09:50:00,29,13.7,328,1.5,0.0,0.0,excellent
TRIP064,DRV097,2024-02-06 10:28:00,2024-02-07 10:05:00,37,8.4,167,1.4,0.0,0.0,excellent
TRIP065,DRV060,2024-02-06 11:35:00,2024-02-07 11:00:00,25,11.0,336,1.2,0.0,0.0,excellent
TRIP066,DRV135,2024-02-06 12:42:00,2024-02-07 12:03:00,21,14.4,261,1.5,0.0,0.0,excellent
TRIP067,DRV153,2024-02-06 13:49:00,2024-02-07 13:19:00,30,19.1,270,1.2,0.0,0.0,excellent
TRIP068,DRV182,2024-02-06 14:56:00,2024-02-07 14:21:00,25,11.6,222,1.5,0.0,0.0,excellent
TRIP069,DRV085,2024-02-06 15:03:00,2024-02-06 15:41:00,38,12.9,157,1.2,0.0,0.0,excellent
TRIP070,DRV207,2024-02-06 16:10:00,2024-02-06 16:43:00,33,13.7,351,1.6,0.0,0.0,excellent
TRIP071,DRV011,2024-02-06 17:17:00,2024-02-06 17:48:00,31,18.5,191,1.5,0.0,0.0,excellent
TRIP072,DRV060,2024-02-06 06:24:00,2024-02-06 06:58:00,34,8.8,355,1.4,0.0,0.0,excellent
TRIP073,DRV031,2024-02-06 07:31:00,2024-02-06 07:59:00,28,13.4,154,1.5,0.0,0.0,excellent
TRIP074,DRV128,2024-02-06 08:38:00,2024-02-07 08:16:00,38,13.3,209,1.0,0.0,0.0,excellent
TRIP075,DRV056,2024-02-06 09:45:00,2024-02-07 09:12:00,27,11.8,182,1.1,0.0,0.0,excellent
TRIP076,DRV189,2024-02-06 10:52:00,2024-02-07 10:30:00,38,17.2,444,1.4,0.0,0.0,excellent
TRIP077,DRV206,2024-02-06 11:59:00,2024-02-07 11:31:00,32,13.7,208,1.2,0.0,0.0,excellent
TRIP078,DRV194,2024-02-06 12:06:00,2024-02-06 12:34:00,28,17.6,241,1.1,0.0,0.0,excellent
TRIP079,DRV143,2024-02-06 13:13:00,2024-02-06 13:43:00,30,18.5,432,1.1,0.0,0.0,excellent
TRIP080,DRV172,2024-02-06 14:20:00,2024-02-06 14:58:00,38,15.3,257,1.5,0.0,0.0,excellent
TRIP081,DRV048,2024-02-06 15:27:00,2024-02-06 15:53:00,26,16.4,226,1.0,0.0,0.0,excellent
TRIP082,DRV066,2024-02-06 16:34:00,2024-02-07 16:11:00,37,11.1,185,1.6,0.0,0.0,excellent
TRIP083,DRV151,2024-02-06 17:41:00,2024-02-07 17:02:00,21,8.2,409,1.3,0.0,0.0,excellent
TRIP084,DRV112,2024-02-06 06:48:00,2024-02-07 06:21:00,33,9.4,244,1.1,0.0,0.0,excellent
TRIP085,DRV133,2024-02-06 07:55:00,2024-02-07 07:21:00,26,11.5,393,1.2,0.0,0.0,excellent
TRIP086,DRV034,2024-02-06 08:02:00,2024-02-06 08:39:00,37,10.6,284,1.4,0.0,0.0,excellent
TRIP087,DRV011,2024-02-06 09:09:00,2024-02-06 09:32:00,23,12.9,214,1.0,0.0,0.0,excellent
TRIP088,DRV043,2024-02-06 10:16:00,2024-02-06 10:53:00,37,13.4,267,1.2,0.0,0.0,excellent
TRIP089,DRV078,2024-02-06 11:23:00,2024-02-06 11:55:00,32,9.0,380,1.1,0.0,0.0,excellent
TRIP090,DRV003,2024-02-06 12:30:00,2024-02-07 12:00:00,30,16.2,336,1.4,0.0,0.0,excellent
TRIP091,DRV039,2024-02-06 13:37:00,2024-02-07 13:03:00,26,8.9,425,1.0,0.0,0.0,excellent
TRIP092,DRV059,2024-02-06 14:44:00,2024-02-07 14:17:00,33,18.9,450,1.6,0.0,0.0,excellent
TRIP093,DRV090,2024-02-06 15:51:00,2024-02-07 15:10:00,19,8.1,398,1.4,0.0,0.0,excellent
TRIP094,DRV139,2024-02-06 16:58:00,2024-02-07 16:27:00,29,9.6,426,1.0,0.0,0.0,excellent
TRIP095,DRV088,2024-02-06 17:05:00,2024-02-06 17:28:00,23,14.0,313,1.5,0.0,0.0,excellent
TRIP096,DRV041,2024-02-06 06:12:00,2024-02-06 06:40:00,28,16.5,361,1.1,0.0,0.0,excellent
TRIP097,DRV099,2024-02-06 07:19:00,2024-02-06 07:38:00,19,19.7,395,1.5,0.0,0.0,excellent
TRIP098,DRV083,2024-02-06 08:26:00,2024-02-06 08:55:00,29,19.1,284,1.5,0.0,0.0,excellent
TRIP099,DRV004,2024-02-06 09:33:00,2024-02-06 09:59:00,26,14.2,363,1.5,0.0,0.0,excellent
TRIP100,DRV013,2024-02-06 10:40:00,2024-02-07 10:13:00,33,17.2,217,1.3,0.0,0.0,excellent
TRIP101,DRV016,2024-02-06 11:47:00,2024-02-07 11:19:00,32,8.6,216,1.0,0.0,0.0,excellent
TRIP102,DRV183,2024-02-06 12:54:00,2024-02-07 12:27:00,33,11.1,379,1.3,0.0,0.0,excellent
TRIP103,DRV114,2024-02-06 13:01:00,2024-02-06 13:33:00,32,12.3,427,1.3,0.0,0.0,excellent
TRIP104,DRV021,2024-02-06 14:08:00,2024-02-06 14:30:00,22,9.5,187,1.1,0.0,0.0,excellent
TRIP105,DRV100,2024-02-06 15:15:00,2024-02-06 15:38:00,23,17.0,279,1.3,0.0,0.0,excellent
TRIP106,DRV205,2024-02-06 16:22:00,2024-02-06 16:46:00,24,15.0,142,1.3,0.0,0.0,excellent
TRIP107,DRV046,2024-02-06 17:29:00,2024-02-07 17:00:00,31,19.0,266,1.5,0.0,0.0,excellent
TRIP108,DRV202,2024-02-06 06:36:00,2024-02-07 06:04:00,28,8.3,202,1.2,0.0,0.0,excellent
TRIP109,DRV003,2024-02-06 07:43:00,2024-02-07 07:11:00,28,9.8,181,1.3,0.0,0.0,excellent
TRIP110,DRV198,2024-02-06 08:50:00,2024-02-07 08:23:00,33,13.4,277,1.4,0.0,0.0,excellent
TRIP111,DRV183,2024-02-06 09:57:00,2024-02-07 09:16:00,19,15.9,371,1.2,0.0,0.0,excellent
TRIP112,DRV095,2024-02-06 10:04:00,2024-02-06 10:40:00,36,9.6,164,1.5,0.0,0.0,excellent
TRIP113,DRV056,2024-02-06 11:11:00,2024-02-06 11:30:00,19,16.9,420,1.6,0.0,0.0,excellent
TRIP114,DRV174,2024-02-06 12:18:00,2024-02-06 12:48:00,30,11.1,262,1.6,0.0,0.0,excellent
TRIP115,DRV132,2024-02-06 13:25:00,2024-02-06 13:43:00,18,18.2,223,1.2,0.0,0.0,excellent
TRIP116,DRV195,2024-02-06 14:32:00,2024-02-07 14:10:00,38,17.0,218,1.1,0.0,0.0,excellent
TRIP117,DRV032,2024-02-06 15:39:00,2024-02-07 15:10:00,31,16.8,298,1.5,0.0,0.0,excellent
TRIP118,DRV124,2024-02-06 16:46:00,2024-02-07 16:15:00,29,16.0,328,1.3,0.0,0.0,excellent
TRIP119,DRV160,2024-02-06 17:53:00,2024-02-07 17:23:00,30,13.7,428,1.4,0.0,0.0,excellent
TRIP120,DRV016,2024-02-06 06:00:00,2024-02-06 06:31:00,31,17.7,235,1.3,0.0,0.0,excellent
TRIP121,DRV004,2024-02-06 07:07:00,2024-02-06 07:26:00,19,14.2,377,1.4,0.0,0.0,excellent
TRIP122,DRV161,2024-02-06 08:14:00,2024-02-06 08:36:00,22,19.2,409,1.4,0.0,0.0,excellent
TRIP123,DRV126,2024-02-06 09:21:00,2024-02-06 09:48:00,27,13.6,180,1.5,0.0,0.0,excellent
TRIP124,DRV084,2024-02-06 10:28:00,2024-02-06 10:50:00,22,19.8,293,1.5,0.0,0.0,excellent
TRIP125,DRV198,2024-02-06 11:35:00,2024-02-07 11:02:00,27,14.8,422,1.0,0.0,0.0,excellent
TRIP126,DRV157,2024-02-06 12:42:00,2024-02-07 12:03:00,21,14.1,351,1.1,0.0,0.0,excellent
TRIP127,DRV108,2024-02-06 13:49:00,2024-02-07 13:25:00,36,17.8,321,1.2,0.0,0.0,excellent
TRIP128,DRV141,2024-02-06 14:56:00,2024-02-07 14:30:00,34,8.2,376,1.1,0.0,0.0,excellent
TRIP129,DRV052,2024-02-06 15:03:00,2024-02-06 15:33:00,30,8.5,353,1.5,0.0,0.0,excellent
TRIP130,DRV094,2024-02-06 16:10:00,2024-02-06 16:46:00,36,16.7,370,1.4,0.0,0.0,excellent
TRIP131,DRV197,2024-02-06 17:17:00,2024-02-06 17:40:00,23,10.5,180,1.4,0.0,0.0,excellent
TRIP132,DRV170,2024-02-06 06:24:00,2024-02-06 06:45:00,21,13.2,149,1.0,0.0,0.0,excellent
TRIP133,DRV179,2024-02-06 07:31:00,2024-02-06 07:54:00,23,15.9,375,1.4,0.0,0.0,excellent
TRIP134,DRV031,2024-02-06 08:38:00,2024-02-07 08:15:00,37,16.7,295,1.4,0.0,0.0,excellent
TRIP135,DRV143,2024-02-06 09:45:00,2024-02-07 09:15:00,30,17.7,184,1.1,0.0,0.0,excellent
TRIP136,DRV039,2024-02-06 10:52:00,2024-02-07 10:13:00,21,17.8,236,1.5,0.0,0.0,excellent
TRIP137,DRV021,2024-02-06 11:59:00,2024-02-07 11:37:00,38,9.7,263,1.3,0.0,0.0,excellent
TRIP138,DRV127,2024-02-06 12:06:00,2024-02-06 12:41:00,35,10.3,294,1.5,0.0,0.0,excellent
TRIP139,DRV043,2024-02-06 13:13:00,2024-02-06 13:44:00,31,8.3,225,1.5,0.0,0.0,excellent
TRIP140,DRV086,2024-02-06 14:20:00,2024-02-06 14:52:00,32,19.6,381,1.0,0.0,0.0,excellent
TRIP141,DRV060,2024-02-06 15:27:00,2024-02-06 15:52:00,25,10.4,431,1.5,0.0,0.0,excellent
TRIP142,DRV053,2024-02-06 16:34:00,2024-02-07 16:02:00,28,8.1,361,1.6,0.0,0.0,excellent
TRIP143,DRV042,2024-02-06 17:41:00,2024-02-07 17:17:00,36,15.2,423,1.6,0.0,0.0,excellent
TRIP144,DRV042,2024-02-06 06:48:00,2024-02-07 06:18:00,30,13.8,442,1.4,0.0,0.0,excellent
TRIP145,DRV074,2024-02-06 07:55:00,2024-02-07 07:28:00,33,10.8,171,1.3,0.0,0.0,excellent
TRIP146,DRV039,2024-02-06 08:02:00,2024-02-06 08:30:00,28,14.6,277,1.5,0.0,0.0,excellent
TRIP147,DRV138,2024-02-06 09:09:00,2024-02-06 09:30:00,21,13.9,317,1.3,0.0,0.0,excellent
TRIP148,DRV024,2024-02-06 10:16:00,2024-02-06 10:39:00,23,11.5,238,1.3,0.0,0.0,excellent
TRIP149,DRV134,2024-02-06 11:23:00,2024-02-06 11:57:00,34,10.6,313,1.6,0.0,0.0,excellent
TRIP150,DRV179,2024-02-06 12:30:00,2024-02-07 12:02:00,32,9.6,290,1.4,0.0,0.0,excellent
TRIP151,DRV001,2024-02-06 13:37:00,2024-02-07 13:15:00,38,16.8,381,1.5,0.0,0.0,excellent
TRIP152,DRV038,2024-02-06 14:44:00,2024-02-07 14:08:00,24,11.4,184,1.4,0.0,0.0,excellent
TRIP153,DRV001,2024-02-06 15:51:00,2024-02-07 15:15:00,24,9.9,391,1.1,0.0,0.0,excellent
TRIP154,DRV169,2024-02-06 16:58:00,2024-02-07 16:25:00,27,10.8,425,1.0,0.0,0.0,excellent
TRIP155,DRV127,2024-02-06 17:05:00,2024-02-06 17:31:00,26,12.3,221,1.1,0.0,0.0,excellent
TRIP156,DRV048,2024-02-06 06:12:00,2024-02-06 06:32:00,20,12.1,198,1.4,0.0,0.0,excellent
TRIP157,DRV156,2024-02-06 07:19:00,2024-02-06 07:44:00,25,13.8,314,1.5,0.0,0.0,excellent
TRIP158,DRV205,2024-02-06 08:26:00,2024-02-07 08:01:00,35,11.2,217,1.5,0.0,0.0,excellent
TRIP159,DRV025,2024-02-06 09:33:00,2024-02-06 09:54:00,21,16.5,364,1.5,0.0,0.0,excellent
TRIP160,DRV068,2024-02-06 10:40:00,2024-02-07 10:01:00,21,19.7,192,1.5,0.0,0.0,excellent
TRIP161,DRV130,2024-02-06 11:47:00,2024-02-07 11:08:00,21,10.0,200,1.5,0.0,0.0,excellent
TRIP162,DRV193,2024-02-06 12:54:00,2024-02-07 12:21:00,27,16.5,399,1.3,0.0,0.0,excellent
TRIP163,DRV104,2024-02-06 13:01:00,2024-02-06 13:39:00,38,12.4,210,1.1,0.0,0.0,excellent
TRIP164,DRV017,2024-02-06 14:08:00,2024-02-06 14:39:00,31,17.2,143,1.1,0.0,0.0,excellent
TRIP165,DRV203,2024-02-06 15:15:00,2024-02-06 15:43:00,28,11.4,227,1.1,0.0,0.0,excellent
TRIP166,DRV193,2024-02-06 16:22:00,2024-02-06 16:53:00,31,12.3,265,1.1,0.0,0.0,excellent
TRIP167,DRV118,2024-02-06 17:29:00,2024-02-07 17:00:00,31,17.4,210,1.5,0.0,0.0,excellent
TRIP168,DRV107,2024-02-06 06:36:00,2024-02-07 06:10:00,34,17.5,325,1.6,0.0,0.0,excellent
TRIP169,DRV047,2024-02-06 07:43:00,2024-02-07 07:01:00,18,16.6,404,1.6,0.0,0.0,excellent
TRIP170,DRV063,2024-02-06 08:50:00,2024-02-07 08:18:00,28,12.8,224,1.3,0.0,0.0,excellent
TRIP171,DRV048,2024-02-06 09:57:00,2024-02-07 09:16:00,19,15.9,217,1.5,0.0,0.0,excellent
TRIP172,DRV007,2024-02-06 10:04:00,2024-02-06 10:38:00,34,19.7,354,1.2,0.0,0.0,excellent
TRIP173,DRV096,2024-02-06 11:11:00,2024-02-06 11:46:00,35,18.5,300,1.5,0.0,0.0,excellent
TRIP174,DRV085,2024-02-06 12:18:00,2024-02-06 12:44:00,26,18.8,215,1.4,0.0,0.0,excellent
TRIP175,DRV046,2024-02-06 13:25:00,2024-02-06 13:49:00,24,18.7,366,1.4,0.0,0.0,excellent
TRIP176,DRV102,2024-02-06 14:32:00,2024-02-07 14:02:00,30,17.3,294,1.1,0.0,0.0,excellent
TRIP177,DRV046,2024-02-06 15:39:00,2024-02-07 15:09:00,30,16.7,204,1.3,0.0,0.0,excellent
TRIP178,DRV046,2024-02-06 16:46:00,2024-02-07 16:10:00,24,9.1,422,1.2,0.0,0.0,excellent
TRIP179,DRV147,2024-02-06 17:53:00,2024-02-07 17:31:00,38,9.9,154,1.5,0.0,0.0,excellent
TRIP180,DRV175,2024-02-06 06:00:00,2024-02-06 06:26:00,26,10.9,295,1.4,0.0,0.0,excellent
TRIP181,DRV133,2024-02-06 07:07:00,2024-02-06 07:26:00,19,18.1,272,1.4,0.0,0.0,excellent
TRIP182,DRV064,2024-02-06 08:14:00,2024-02-06 08:33:00,19,17.1,203,1.3,0.0,0.0,excellent
TRIP183,DRV106,2024-02-06 09:21:00,2024-02-06 09:39:00,18,13.4,260,1.5,0.0,0.0,excellent
TRIP184,DRV132,2024-02-06 10:28:00,2024-02-07 10:06:00,38,16.0,444,1.1,0.0,0.0,excellent
TRIP185,DRV178,2024-02-06 11:35:00,2024-02-07 11:11:00,36,16.1,333,1.3,0.0,0.0,excellent
TRIP186,DRV107,2024-02-06 12:42:00,2024-02-07 12:10:00,28,14.2,238,1.5,0.0,0.0,excellent
TRIP187,DRV084,2024-02-06 13:49:00,2024-02-07 13:10:00,21,9.8,357,1.5,0.0,0.0,excellent
TRIP188,DRV031,2024-02-06 14:56:00,2024-02-07 14:27:00,31,18.7,383,1.1,0.0,0.0,excellent
TRIP189,DRV018,2024-02-06 15:03:00,2024-02-06 15:37:00,34,12.8,426,1.3,0.0,0.0,excellent
TRIP190,DRV165,2024-02-06 16:10:00,2024-02-06 16:46:00,36,14.0,356,1.6,0.0,0.0,excellent
TRIP191,DRV118,2024-02-06 17:17:00,2024-02-06 17:48:00,31,17.9,213,1.3,0.0,0.0,excellent
TRIP192,DRV191,2024-02-06 06:24:00,2024-02-06 06:56:00,32,9.6,402,1.5,0.0,0.0,excellent
TRIP193,DRV050,2024-02-06 07:31:00,2024-02-06 07:55:00,24,13.5,156,1.4,0.0,0.0,excellent
TRIP194,DRV161,2024-02-06 08:38:00,2024-02-06 08:59:00,21,15.2,349,1.1,0.0,0.0,excellent
TRIP195,DRV160,2024-02-06 09:45:00,2024-02-07 09:12:00,27,8.5,218,1.1,0.0,0.0,excellent
TRIP196,DRV147,2024-02-06 10:52:00,2024-02-07 10:19:00,27,11.5,154,1.5,0.0,0.0,excellent
TRIP197,DRV052,2024-02-06 11:59:00,2024-02-07 11:35:00,36,13.1,296,1.5,0.0,0.0,excellent
TRIP198,DRV192,2024-02-06 12:06:00,2024-02-06 12:39:00,33,8.0,420,1.2,0.0,0.0,excellent
TRIP199,DRV035,2024-02-06 13:13:00,2024-02-06 13:46:00,33,14.9,429,1.3,0.0,0.0,excellent
TRIP200,DRV136,2024-02-06 14:20:00,2024-02-06 14:50:00,30,13.7,450,1.1,0.0,0.0,excellent
TRIP201,DRV060,2024-02-06 15:27:00,2024-02-07 15:05:00,38,13.5,370,1.4,0.0,0.0,excellent
TRIP202,DRV085,2024-02-06 16:34:00,2024-02-07 16:02:00,28,9.1,349,1.2,0.0,0.0,excellent
TRIP203,DRV146,2024-02-06 17:41:00,2024-02-07 17:16:00,35,8.5,366,1.4,0.0,0.0,excellent
TRIP204,DRV075,2024-02-06 06:48:00,2024-02-07 06:11:00,23,16.5,432,1.4,0.0,0.0,excellent
TRIP205,DRV033,2024-02-06 07:55:00,2024-02-07 07:22:00,27,14.7,203,1.4,0.0,0.0,excellent
TRIP206,DRV138,2024-02-06 08:02:00,2024-02-06 08:39:00,37,14.5,167,1.6,0.0,0.0,excellent
TRIP207,DRV131,2024-02-06 09:09:00,2024-02-06 09:42:00,33,14.0,149,1.1,0.0,0.0,excellent
TRIP208,DRV178,2024-02-06 10:16:00,2024-02-06 10:34:00,18,11.3,245,1.1,0.0,0.0,excellent
TRIP209,DRV198,2024-02-06 11:23:00,2024-02-06 11:59:00,36,13.3,413,1.4,0.0,0.0,excellent
TRIP210,DRV172,2024-02-06 12:30:00,2024-02-06 12:49:00,19,13.9,151,1.2,0.0,0.0,excellent
TRIP211,DRV205,2024-02-06 13:37:00,2024-02-06 13:55:00,18,18.3,302,1.2,0.0,0.0,excellent
TRIP212,DRV016,2024-02-06 14:44:00,2024-02-07 14:05:00,21,14.5,286,1.1,0.0,0.0,excellent
TRIP213,DRV067,2024-02-06 15:51:00,2024-02-07 15:11:00,20,9.9,348,1.4,0.0,0.0,excellent
TRIP214,DRV199,2024-02-06 16:58:00,2024-02-07 16:26:00,28,10.2,169,1.2,0.0,0.0,excellent
TRIP215,DRV110,2024-02-06 17:05:00,2024-02-06 17:27:00,22,13.0,305,1.2,0.0,0.0,excellent
TRIP216,DRV012,2024-02-06 06:12:00,2024-02-06 06:31:00,19,10.4,445,1.4,0.0,0.0,excellent
TRIP217,DRV094,2024-02-06 07:19:00,2024-02-06 07:53:00,34,12.6,198,1.2,0.0,0.0,excellent
TRIP218,DRV205,2024-02-06 08:26:00,2024-02-07 08:01:00,35,12.9,387,1.0,0.0,0.0,excellent
TRIP219,DRV133,2024-02-06 09:33:00,2024-02-06 09:51:00,18,11.2,440,1.4,0.0,0.0,excellent
TRIP220,DRV138,2024-02-06 10:40:00,2024-02-07 10:15:00,35,15.8,204,1.2,0.0,0.0,excellent
